Item,Qty,Reference,Description,KiCad Value,Supplier,Supplier P/N
1,1,BJT0,BJT NPN Transistor 50V 2A SOT23-3 package,KSC1623_BJT_TRANSISTOR,DigiKey,FMMT619CT-ND
2,2,"BUTTON1,BUTTON2","Pushbutton switch SPST tactile, SMD",PUSHBUTTON_DPST_SMDSTANDARD,DigiKey,SW836CT-ND
3,2,"C1,C2","Capacitor, surface mount 1uF 35V, electrolytic, Panasonic FC series, size code B",1µF,DigiKey,PCE4024CT-ND
4,8,"C3,C4,C5,C6,C7,C8,C9,C23","Capacitor, 0603 0.1µF 16V ceramic",0.1µF,DigiKey,399-1096-1-ND
5,1,C10,"Capacitor, 0603 10µF X5R",10µF,DigiKey,311-3486-2-ND
6,1,CR1220_BATTERY0,CR1220 Battery holder,CR1220_BATTERY_HOLDERSMD,DigiKey,36-3000-ND
7,1,INDUCTOR0,"Inductor, 10µH 150mA, 360 mOhm",10µH,DigiKey,587-2045-1-ND
8,1,LED1,"LED, Red 0805",RED_LED,DigiKey,160-1427-1-ND
9,1,LED2,"LED, Green 0805",GREEN_LED,DigiKey,160-1423-1-ND
10,1,MCP1700T-3302,Voltage regulator MCP-1700T-3002 3.0V (or 3.3V version),MCP1700T-3302E{slash}TT,DigiKey,MCP1700T-3002E/TTCT-ND
11,1,PFET-0,P-Channel 20 V 6A (Ta) 1W (Ta) Surface Mount SOT-23F,MOSFET-PCHANNELSSM3J328R,DigiKey,SSM3J328RLFCT-ND
12,2,"R1,R2","Resistor, 0603 100ohm",100,DigiKey,311-100GRCT-ND
13,9,"R3,R6,R9,R14,R28,R29,R31,R32,R33","Resistor, 0603 10 k ohm",10k,DigiKey,311-10KGRCT-ND
14,3,"R4,R5,R15","Resistor, 0603 100 k ohm ",100k,DigiKey,311-100KGRCT-ND
15,2,"R7,R8","Resistor, 0603 4.7k ohm",4.7k,DigiKey,311-4.7KGRCT-ND
16,1,R30,"Resistor, 0603 15 k ohm ",15k,DigiKey,311-15KGRCT-ND
17,1,RESET0,"pushbutton surface mount (small, 1.5mm height)",PUSHBUTTON_DPST_SMDSMALL,DigiKey,CKN9104CT-ND
18,1,SD1,MicroSD card slot 5033981892,MOLEX_5033981892_SD,DigiKey,WM11190CT-ND
19,2,"SHIFT_0,SHIFT_1",Shift register 74HC595D,74HC595D,DigiKey,296-31822-1-ND
20,1,U1,ATmega328P 32-TQFP,ATMEGA328P,DigiKey,ATMEGA328P-AURCT-ND
21,1,U3,"Real Time Clock, DS3231SN#  SO-16 footprint",DS3231MZ,DigiKey,DS3231SN#-ND
22,1,U4,"CD74HC4067PWR multiplexer 16 channel (24-TSSOP 4.4x7.8mm, 0.65mm pitch)",CD74HC4067PWR,DigiKey,296-CD74HC4067PWRCT-ND
